"Average",,,,,,,,,,,,,"P0",,,,,,,,,,,,"P1",,,,,,,,,,,,"P2",,,,,,,,,,,,"R0",,,,,,,,,,,,"R1",,,,,,,,,,,,"R2",,,,,,,,,,,,"C0",,,,,,,,,,,
"Index [1]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","exx [1] - Lagrange","eyy [1] - Lagrange","exy [1] - Lagrange","e1 [1] - Lagrange","e2 [1] - Lagrange","gamma [1] - Lagrange","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","exx [1] - Lagrange","eyy [1] - Lagrange","exy [1] - Lagrange","e1 [1] - Lagrange","e2 [1] - Lagrange","gamma [1] - Lagrange","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","exx [1] - Lagrange","eyy [1] - Lagrange","exy [1] - Lagrange","e1 [1] - Lagrange","e2 [1] - Lagrange","gamma [1] - Lagrange","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","exx [1] - Lagrange","eyy [1] - Lagrange","exy [1] - Lagrange","e1 [1] - Lagrange","e2 [1] - Lagrange","gamma [1] - Lagrange","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","exx [1] - Lagrange","eyy [1] - Lagrange","exy [1] - Lagrange","e1 [1] - Lagrange","e2 [1] - Lagrange","gamma [1] - Lagrange","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","exx [1] - Lagrange","eyy [1] - Lagrange","exy [1] - Lagrange","e1 [1] - Lagrange","e2 [1] - Lagrange","gamma [1] - Lagrange","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","exx [1] - Lagrange","eyy [1] - Lagrange","exy [1] - Lagrange","e1 [1] - Lagrange","e2 [1] - Lagrange","gamma [1] - Lagrange","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","exx [1] - Lagrange","eyy [1] - Lagrange","exy [1] - Lagrange","e1 [1] - Lagrange","e2 [1] - Lagrange","gamma [1] - Lagrange"
131,-2.86433,-5.26934,-0.0835646,-0.0116686,0.00981057,0.0760353,0.000530227,0.00101947,0.000330036,0.00202003,-0.000470338,0.200091,,,,,,,,,,,,,,,,,,,,,,,,,29.0699,15.2597,-0.345128,-0.012025,0.0376929,-0.0172906,0.00131809,0.00206649,-0.000478851,0.00231045,0.00107413,-1.1121,,,,,,,,,,,,,23.1232,27.6107,-0.140648,0.000430225,0.026877,0.0591157,0.00244276,-0.00048472,0.00265223,0.00414978,-0.00219175,0.528977,24.6874,14.4635,-0.323386,-0.0161206,0.0226763,0.0135462,0.0020244,0.00216666,-0.000183878,0.00261303,0.00157803,-0.521557,14.5252,19.8265,-0.273619,-0.00868138,0.0301508,0.0437602,0.0019036,0.00164554,0.000512745,0.00321492,0.000334212,0.112796
132,-2.83387,-5.34146,-0.0838004,-0.0118376,0.00840083,0.0799572,0.000601136,0.00103989,0.000270558,0.00208606,-0.000445028,0.16933,,,,,,,,,,,,,,,,,,,,,,,,,29.0699,15.2597,-0.345128,-0.0160163,0.0412225,-0.0575016,0.00117843,0.00160015,-0.00104007,0.00246418,0.000314401,-0.89222,,,,,,,,,,,,,21.903,27.5185,-0.178877,-0.00267835,0.0326105,0.0449426,0.00362915,-0.000361116,0.00112631,0.00401893,-0.000750898,0.281677,24.904,14.3254,-0.323417,-0.0142161,0.0240203,0.0027379,0.00231291,0.00181219,-0.000605813,0.00298132,0.00114378,-0.615624,14.614,19.6587,-0.275737,-0.00786865,0.0289229,0.0456462,0.0022408,0.00139428,0.000330898,0.00332258,0.000312506,0.0205643
133,-2.86028,-5.25073,-0.0836787,-0.0114873,0.00745847,0.0886678,0.000410022,0.00101918,0.000282245,0.0019314,-0.00050219,0.205402,,,,,,,,,,,,,,,,,,,,,,,,,29.0699,15.2597,-0.345128,-0.0180609,0.0386477,-0.0282528,0.000142102,0.00135647,-0.000480349,0.00152578,-2.72139e-05,-1.23756,,,,,,,,,,,,,22.6683,27.6161,-0.145897,-0.00447961,0.0284188,0.036054,0.000885803,-0.000625903,0.000399837,0.00130747,-0.00104757,0.231584,24.8211,14.3473,-0.323819,-0.0033131,0.0141379,0.077874,0.000924225,0.00132281,-0.000115661,0.00161658,0.000630454,-0.257858,14.6195,19.7549,-0.273808,-0.00585903,0.025324,0.0684694,0.00142656,0.00126762,0.000426616,0.00254942,0.000144766,0.246358
134,-2.88202,-5.38489,-0.0835472,-0.0123846,0.00895216,0.0790815,0.000431769,0.000994632,0.000287265,0.00194887,-0.000522472,0.226027,,,,,,,,,,,,,,,,,,,,,,,,,29.0699,15.2597,-0.345128,-0.01253,0.0374882,-0.00639709,0.000392645,0.000960314,-0.000471645,0.00123199,0.000120974,-1.06333,,,,,,,,,,,,,21.873,27.5273,-0.162168,-0.0086395,0.0257283,0.0167896,0.00153427,-0.0020512,-8.09527e-05,0.00197155,-0.00248848,0.0782651,24.8532,14.2932,-0.32395,-0.00422519,0.0174146,0.0470897,0.00111825,0.00117426,-0.000116493,0.00168309,0.000609414,-0.135307,14.4972,19.6092,-0.275727,-0.00670547,0.0277275,0.0512594,0.00147185,0.0010361,0.000385688,0.00252971,-2.17573e-05,0.221971
135,-2.77827,-5.30082,-0.0831557,-0.0122338,0.00888554,0.0801905,0.000447224,0.000975904,0.000312357,0.00195259,-0.000529458,0.217341,,,,,,,,,,,,,,,,,,,,,,,,,29.0699,15.2597,-0.345128,-0.0159416,0.0393033,-0.0125046,0.000482095,0.000978499,-0.000349866,0.00116333,0.000297268,-1.0993,,,,,,,,,,,,,23.9281,27.6003,-0.129245,-0.0102465,0.0267731,0.0163379,0.00124322,-0.00213464,0.000482127,0.00147539,-0.00236681,0.189334,24.8865,14.2806,-0.324012,-0.00415476,0.0177161,0.0471518,0.00109137,0.00111541,-5.21798e-05,0.00149258,0.000714192,-0.136907,14.799,19.7452,-0.27202,-0.0070738,0.0278151,0.0504846,0.00147218,0.0009225,0.000513096,0.00248325,-8.85692e-05,0.275362
136,-2.73495,-5.2354,-0.0833985,-0.0114404,0.00815755,0.0882811,0.000395104,0.00094008,0.000323075,0.00191065,-0.000575465,0.253499,,,,,,,,,,,,,,,,,,,,,,,,,29.0699,15.2597,-0.345128,-0.0150225,0.0377097,-0.00611201,0.000628144,0.000726633,-0.000240486,0.000926011,0.000428766,-0.903446,,,,,,,,,,,,,24.3267,27.6356,-0.120997,-0.00657418,0.0248504,0.0375221,0.00139147,-0.00158719,0.000612849,0.00172607,-0.00192179,0.196336,24.769,14.4006,-0.32349,-0.00363739,0.0186493,0.048368,0.00113554,0.000920689,1.79719e-05,0.00137867,0.000677559,0.0404215,14.8224,19.7953,-0.271261,-0.00582848,0.0272678,0.0595194,0.00143808,0.000803849,0.00049067,0.0023875,-0.000145574,0.266325
137,-2.76646,-5.25211,-0.0839318,-0.0111995,0.00815583,0.087621,0.000397151,0.000981504,0.000299708,0.00191252,-0.00053386,0.24569,,,,,,,,,,,,,,,,,,,,,,,,,29.0699,15.2597,-0.345128,-0.0137361,0.0356048,0.00527376,0.000289748,0.00132987,-0.000414708,0.00147838,0.000141237,-1.2351,,,,,,,,,,,,,22.4993,27.5338,-0.146874,-0.00324906,0.0280831,0.0391696,0.000657545,-0.000963106,0.000134783,0.00106273,-0.00136829,0.0549216,24.6874,14.4635,-0.323386,-0.00403328,0.0163792,0.0681888,0.000900515,0.00133649,-0.000129694,0.0016086,0.000628397,-0.225405,14.6793,19.7194,-0.273683,-0.0053586,0.0270459,0.0635181,0.00132836,0.00100804,0.000353278,0.00237469,-3.82995e-05,0.19422
138,-2.75885,-5.24683,-0.0840277,-0.0117277,0.00854194,0.0922827,0.00033857,0.000973799,0.000313936,0.00187884,-0.000566475,0.213057,,,,,,,,,,,,,,,,,,,,,,,,,29.0699,15.2597,-0.345128,-0.0151707,0.0360463,0.00729478,0.000399498,0.0013888,-0.000401753,0.0015335,0.000254802,-1.23007,,,,,,,,,,,,,22.2481,27.6201,-0.137481,-0.0070479,0.028652,0.0429707,0.000807293,-0.00122703,-8.10396e-05,0.00127633,-0.00169607,0.0239692,24.6874,14.4635,-0.323386,-0.0041646,0.01707,0.0728378,0.000928173,0.00139946,-9.36471e-05,0.00159902,0.000728618,-0.293911,14.6794,19.6942,-0.273745,-0.0062809,0.028191,0.0695602,0.00111817,0.00092516,0.000464824,0.00221181,-0.000168483,0.227971
139,-2.7671,-5.23624,-0.0837007,-0.0118393,0.00814187,0.0894844,0.000411097,0.00089986,0.000292649,0.00190489,-0.000593929,0.209061,,,,,,,,,,,,,,,,,,,,,,,,,29.0699,15.2597,-0.345128,-0.015126,0.0359122,0.000944951,0.000586059,0.0011269,-0.000273723,0.0012439,0.000469062,-1.17363,,,,,,,,,,,,,22.9507,27.5713,-0.135022,-0.00595202,0.0282188,0.0324684,0.000999972,-0.0018095,0.000252576,0.00125348,-0.00206301,0.191937,24.6874,14.4635,-0.323386,-0.0037402,0.0169421,0.0754685,0.00106739,0.00124664,-2.24237e-05,0.00149833,0.000815705,-0.0358449,14.7915,19.7144,-0.273081,-0.00631146,0.0275679,0.0683487,0.0014402,0.000667819,0.000375119,0.00233528,-0.000227262,0.237287
140,-2.75403,-5.24467,-0.0837159,-0.0118489,0.00822278,0.090775,0.000428209,0.000882461,0.000342111,0.00190179,-0.000591125,0.263316,,,,,,,,,,,,,,,,,,,,,,,,,29.0699,15.2597,-0.345128,-0.0152988,0.0363708,0.012424,0.000447034,0.000961976,-0.00025532,0.00107101,0.000337996,-1.18462,,,,,,,,,,,,,23.37,27.6064,-0.126862,-0.00589207,0.0262354,0.0378572,0.000564725,-0.00204603,0.000170533,0.000820916,-0.00230222,0.0783974,24.6874,14.4635,-0.323386,-0.00342878,0.0185437,0.0746183,0.000974649,0.00117053,-1.03119e-05,0.00140956,0.000735616,0.103091,14.7357,19.7532,-0.272702,-0.00621985,0.0282604,0.0687248,0.00151807,0.000587309,0.000527639,0.0022838,-0.000178425,0.307048
141,-2.75613,-5.26427,-0.0837343,-0.0118567,0.00843558,0.0880871,0.000432734,0.00101864,0.000317579,0.00197384,-0.000522466,0.263726,,,,,,,,,,,,,,,,,,,,,,,,,29.0699,15.2597,-0.345128,-0.0164875,0.0366701,0.0106381,0.000330087,0.0014053,-0.000381985,0.00153223,0.000203155,-1.26112,,,,,,,,,,,,,23.3819,27.7496,-0.129098,-0.00728415,0.0327348,0.0161679,0.000762257,-0.000196695,-1.70038e-05,0.00207078,-0.00150522,-0.157072,24.6874,14.4635,-0.323386,-0.00360303,0.0192858,0.0656129,0.000935521,0.0014963,9.70496e-06,0.00175942,0.000672403,0.149243,14.7608,19.7134,-0.27316,-0.00588134,0.0287318,0.0635624,0.00152807,0.00116577,0.000427027,0.00262969,6.41536e-05,0.317638
142,-2.74021,-5.2825,-0.0843644,-0.0122546,0.00813673,0.0875707,0.000642322,0.000966129,0.000422792,0.00215089,-0.000542442,0.27635,,,,,,,,,,,,,,,,,,,,,,,,,29.0699,15.2597,-0.345128,-0.016232,0.0348074,0.0289552,0.000496871,0.0014236,-0.00012032,0.00144188,0.000478591,-1.43907,,,,,,,,,,,,,24.18,27.5969,-0.124819,-0.00606448,0.0305786,0.0110651,0.00172085,-0.000507054,0.00177617,0.00286557,-0.00165178,0.530847,24.6874,14.4635,-0.323386,-0.0038108,0.018079,0.0734045,0.00102596,0.00156581,0.000218382,0.00176458,0.000827194,0.504646,14.8332,19.6305,-0.276026,-0.00643143,0.0281416,0.0640865,0.00239024,0.000889351,0.0009515,0.0033064,-2.68105e-05,0.525203
143,-2.74861,-5.26751,-0.08443,-0.0119369,0.00832013,0.0895023,0.000642763,0.00104198,0.000411694,0.00220086,-0.000516128,0.296184,,,,,,,,,,,,,,,,,,,,,,,,,29.0699,15.2597,-0.345128,-0.0160331,0.0344074,0.0277793,0.000344506,0.00162301,-0.000245239,0.00167091,0.000296601,-1.38579,,,,,,,,,,,,,23.37,27.6064,-0.126862,-0.00514288,0.0355099,0.0201592,0.000769597,0.00156672,0.00100847,0.00258731,-0.000250995,1.03325,24.6874,14.4635,-0.323386,-0.00370415,0.0183512,0.0680505,0.000884296,0.0017802,0.000108061,0.00190648,0.000758018,0.117075,14.7603,19.6495,-0.275946,-0.00596899,0.028542,0.0637133,0.00243237,0.0012181,0.000840456,0.00351289,0.000137586,0.477023
144,-2.7328,-5.20665,-0.0837552,-0.0128412,0.00969252,0.0813909,0.000438487,0.00107093,0.000327144,0.00201439,-0.000504983,0.254187,,,,,,,,,,,,,,,,,,,,,,,,,29.0699,15.2597,-0.345128,-0.0191192,0.0369989,0.0183787,0.00036616,0.00154166,-0.000224104,0.00158501,0.000322809,-1.38632,,,,,,,,,,,,,24.0608,27.5604,-0.123589,-0.00609581,0.034877,0.0112321,0.0010277,0.000791164,0.000867761,0.0022634,-0.000444533,0.773092,24.6874,14.4635,-0.323386,-0.0039568,0.0184139,0.0674929,0.00100561,0.00173045,0.000102604,0.00187255,0.000863519,0.157361,14.7756,19.7717,-0.272019,-0.00713197,0.0307707,0.0569363,0.00148256,0.00130233,0.000515075,0.00268648,9.84079e-05,0.372442
145,-2.76708,-5.23088,-0.0835509,-0.0107687,0.00716504,0.0932795,0.000398105,0.00107197,0.000342787,0.00197566,-0.000505591,0.261473,,,,,,,,,,,,,,,,,,,,,,,,,29.0699,15.2597,-0.345128,-0.0167345,0.0347685,0.0243619,0.000349309,0.00145128,-0.000290368,0.0015278,0.000272795,-1.32573,,,,,,,,,,,,,24.0608,27.5604,-0.123589,-0.00432532,0.0327696,0.0153883,0.000992097,0.000389674,0.000925533,0.0018568,-0.000475034,0.688184,24.6874,14.4635,-0.323386,-0.00253536,0.0169838,0.0699256,0.000940523,0.00161915,7.67401e-05,0.00182163,0.000738041,0.0502735,14.7235,19.8051,-0.272136,-0.00541317,0.0280033,0.0665932,0.00129812,0.00120998,0.000573858,0.00246826,3.98383e-05,0.363452
146,-2.76595,-5.21317,-0.0835635,-0.0133044,0.0104016,0.0842505,0.0006598,0.00108754,0.000366922,0.00217896,-0.000431628,0.240056,,,,,,,,,,,,,,,,,,,,,,,,,29.0699,15.2597,-0.345128,-0.0190135,0.03631,0.0239966,0.000408796,0.00149835,-0.000218706,0.0015442,0.000362947,-1.37555,,,,,,,,,,,,,24.0608,27.5604,-0.123589,-0.00398631,0.034158,0.0244186,0.00115921,0.000808631,0.00118881,0.00252502,-0.000557181,0.738847,24.6874,14.4635,-0.323386,-0.00657341,0.0191044,0.0594693,0.000982059,0.00164067,0.000142603,0.00183143,0.000791305,0.15708,14.6942,19.8404,-0.271891,-0.00771019,0.0314888,0.0604259,0.00239243,0.00138101,0.00073445,0.00332712,0.000446314,0.378357
147,-2.75361,-5.21237,-0.0835296,-0.00999952,0.00744867,0.105576,0.000446144,0.00102394,0.00034351,0.00199714,-0.000527057,0.24514,,,,,,,,,,,,,,,,,,,,,,,,,29.0699,15.2597,-0.345128,-0.014685,0.0310122,0.0485599,0.000544988,0.0013906,-0.000235545,0.00145898,0.000476613,-1.31257,,,,,,,,,,,,,24.228,27.5961,-0.121409,-0.00234631,0.0301913,0.0330632,0.00102685,-5.21371e-05,0.0014385,0.00227252,-0.00129781,0.594406,24.6874,14.4635,-0.323386,-0.0042654,0.0173209,0.0761486,0.000986167,0.00150672,0.000180196,0.00179983,0.00069305,0.196569,14.7501,19.8398,-0.271668,-0.00539953,0.0279417,0.0779993,0.00154171,0.00118784,0.000652546,0.00265491,7.46421e-05,0.371509
148,-2.75685,-5.24807,-0.0841624,-0.0146648,0.00795551,0.0835729,0.000598616,0.000999092,0.000381012,0.00212376,-0.00052605,0.25158,,,,,,,,,,,,,,,,,,,,,,,,,29.0699,15.2597,-0.345128,-0.0187753,0.0309149,0.0378994,0.000610288,0.00140322,-0.000146959,0.00143422,0.000579288,-1.38621,,,,,,,,,,,,,24.228,27.5961,-0.121409,-0.00721185,0.0329257,0.0156658,0.000881114,0.000136624,0.00165188,0.00238644,-0.0013687,0.683533,24.6874,14.4635,-0.323386,-0.00775422,0.0164425,0.0653823,0.000943298,0.00142574,0.000211107,0.00166018,0.000708857,0.312108,14.7575,19.7871,-0.275108,-0.00954074,0.0287209,0.0615505,0.00215692,0.000976718,0.000840942,0.00310452,2.91164e-05,0.469109
149,-2.80392,-5.22094,-0.0839261,-0.0106396,0.00705108,0.104837,0.000440542,0.00104947,0.000328306,0.00199832,-0.000508307,0.278648,,,,,,,,,,,,,,,,,,,,,,,,,29.0699,15.2597,-0.345128,-0.0161409,0.0305006,0.0550124,0.000567222,0.00144817,-5.21174e-05,0.00145431,0.000561078,-1.3285,,,,,,,,,,,,,24.228,27.5961,-0.121409,-0.00314295,0.0319679,0.0394125,0.000894217,0.000805903,0.00143391,0.00253658,-0.000836464,0.669705,24.6874,14.4635,-0.323386,-0.00293489,0.0151876,0.0929354,0.00093671,0.00146462,0.000208842,0.00166513,0.000736204,0.419163,14.6714,19.7331,-0.273563,-0.00548893,0.0269822,0.0822996,0.00155176,0.00131244,0.000489966,0.00267502,0.000189179,0.457652
150,-2.74961,-5.28018,-0.0841269,-0.012392,0.00812022,0.0941683,0.000571883,0.000938029,0.000396201,0.00207253,-0.00056262,0.262622,,,,,,,,,,,,,,,,,,,,,,,,,29.0699,15.2597,-0.345128,-0.0172424,0.0310891,0.0406366,0.000461034,0.00122286,-4.01116e-05,0.00123234,0.000451553,0.0667441,,,,,,,,,,,,,24.228,27.5961,-0.121409,-0.00427624,0.0331194,0.0261551,0.000829322,0.000193266,0.00165851,0.00243446,-0.00141187,0.664618,24.6874,14.4635,-0.323386,-0.00327358,0.0135562,0.0964648,0.000943994,0.00128931,0.000149501,0.00156726,0.000666042,0.404448,14.8251,19.6904,-0.275324,-0.00712615,0.0274071,0.0767933,0.00209741,0.000898294,0.000835364,0.00299757,-1.86786e-06,0.436252
151,-2.74754,-5.26245,-0.084224,-0.011712,0.00773235,0.0956422,0.000570731,0.000958755,0.000410919,0.00210836,-0.000578875,0.262841,,,,,,,,,,,,,,,,,,,,,,,,,29.0699,15.2597,-0.345128,-0.0180013,0.0312518,0.0320756,0.000473704,0.00165046,-3.98834e-06,0.00165315,0.000471013,0.00604676,,,,,,,,,,,,,24.228,27.5961,-0.121409,-0.00440523,0.0335772,0.0237188,0.00079958,0.000769942,0.00211544,0.00318624,-0.00161672,0.763402,24.6874,14.4635,-0.323386,-0.00188038,0.0122881,0.102202,0.000955633,0.00161349,0.000199051,0.00180804,0.000761078,0.448268,14.7998,19.7217,-0.275388,-0.00642205,0.0273667,0.0785505,0.00206926,0.000947054,0.000926636,0.00312235,-0.000106044,0.471897
152,-2.76949,-5.27613,-0.0842296,-0.0123534,0.00748039,0.0980646,0.000587963,0.000985375,0.000401112,0.00213707,-0.000563733,0.265657,,,,,,,,,,,,,,,,,,,,,,,,,29.0699,15.2597,-0.345128,-0.0189058,0.0309654,0.0395884,0.000530195,0.00180573,3.76181e-06,0.00180794,0.000527983,-0.00114576,,,,,,,,,,,,,24.228,27.5961,-0.121409,-0.00677716,0.0338171,0.0176583,0.00108706,0.0010457,0.0021745,0.00360759,-0.00147482,0.756169,24.6874,14.4635,-0.323386,-0.00324138,0.011794,0.111454,0.00098499,0.00174758,0.000200772,0.00192248,0.000810086,0.475719,14.7345,19.7089,-0.275792,-0.00728557,0.0273717,0.0810437,0.00217328,0.0010543,0.00088662,0.00325716,-2.95715e-05,0.464563
153,-2.76001,-5.27276,-0.084333,-0.0128877,0.0073237,0.100648,0.000575309,0.00098288,0.000420999,0.00210295,-0.000544757,0.311192,,,,,,,,,,,,,,,,,,,,,,,,,29.0699,15.2597,-0.345128,-0.0208686,0.0317677,0.0340801,0.000603101,0.00182447,-1.61959e-05,0.00182765,0.000599923,0.0163506,,,,,,,,,,,,,24.228,27.5961,-0.121409,-0.00662058,0.033067,0.0219015,0.00102936,0.00129988,0.00213831,0.00352996,-0.00120072,0.777095,24.6874,14.4635,-0.323386,-0.00450478,0.0115215,0.11282,0.00102698,0.00172596,0.000157374,0.00188559,0.000867351,0.437148,14.7431,19.6748,-0.275883,-0.00814485,0.0264817,0.0820446,0.00212147,0.00113846,0.00089669,0.00317632,8.36037e-05,0.501806
154,-2.73193,-5.21331,-0.0837306,-0.0129887,0.00837793,0.0939984,0.000514609,0.00097851,0.000426149,0.00204096,-0.000547841,0.303545,,,,,,,,,,,,,,,,,,,,,,,,,29.0699,15.2597,-0.345128,-0.0213137,0.0326154,0.0328506,0.000507661,0.00145267,-6.65654e-05,0.00146301,0.000497324,-1.48783,,,,,,,,,,,,,24.228,27.5961,-0.121409,-0.010135,0.0325221,0.0010267,0.000747407,-0.000180221,0.00185062,0.0025323,-0.00196511,0.658266,24.6874,14.4635,-0.323386,-0.00541823,0.0126254,0.105998,0.00096404,0.0014494,0.000145629,0.00168133,0.00073211,0.401685,14.7671,19.797,-0.272026,-0.00830029,0.0281925,0.0726533,0.00184957,0.00102897,0.000929896,0.00285058,2.79593e-05,0.502137
155,-2.73694,-5.24042,-0.084355,-0.0134555,0.00804363,0.0951816,0.000588725,0.000945233,0.000426737,0.00212017,-0.00058621,0.291039,,,,,,,,,,,,,,,,,,,,,,,,,29.0699,15.2597,-0.345128,-0.0244319,0.0336817,0.0284859,0.000606611,0.00154161,-3.45021e-05,0.00154809,0.000600134,-0.130044,,,,,,,,,,,,,24.228,27.5961,-0.121409,-0.00675446,0.0332629,0.0199025,0.00124298,0.000555659,0.00208053,0.00330551,-0.00150687,0.695008,24.6874,14.4635,-0.323386,-0.00692187,0.013582,0.0901606,0.00100245,0.00150071,0.000200347,0.00175768,0.000745485,0.44006,14.7788,19.7233,-0.275229,-0.00844308,0.0280769,0.0715984,0.00220497,0.000948738,0.000910671,0.00319637,-4.26647e-05,0.480203
156,-2.71423,-5.23817,-0.0844569,-0.0128671,0.00809125,0.101384,0.000627053,0.000944764,0.000415631,0.00214363,-0.000571809,0.281723,,,,,,,,,,,,,,,,,,,,,,,,,29.0699,15.2597,-0.345128,-0.0215251,0.0328225,0.0447577,0.000547575,0.00139271,0.000151467,0.00142125,0.000519033,1.40035,,,,,,,,,,,,,24.228,27.5961,-0.121409,-0.00551766,0.0326897,0.039764,0.00126079,0.000459651,0.00208297,0.00333293,-0.00161249,0.67043,24.6874,14.4635,-0.323386,-0.00602339,0.014083,0.090994,0.0010133,0.00139729,0.000348305,0.00171458,0.000696017,0.755031,14.8472,19.6844,-0.275316,-0.00762994,0.028104,0.0788771,0.00232387,0.000933677,0.000922816,0.00329465,-3.7104e-05,0.550711
157,-2.79053,-5.21763,-0.0844341,-0.0148603,0.0086955,0.11592,0.000640987,0.00095826,0.000408294,0.00214088,-0.000541626,0.236368,,,,,,,,,,,,,,,,,,,,,,,,,29.0699,15.2597,-0.345128,-0.0236693,0.031937,0.0620459,0.000749949,0.00162454,1.74214e-05,0.0016324,0.00074208,-0.00566901,,,,,,,,,,,,,24.228,27.5961,-0.121409,-0.00761553,0.0343709,0.0565427,0.00148494,0.00102699,0.00218664,0.00371685,-0.00120492,0.698561,24.6767,14.4329,-0.323401,-0.00922487,0.0145312,0.102058,0.00116213,0.00159109,0.000268063,0.00192796,0.000825255,0.448933,14.6918,19.7144,-0.27554,-0.0100755,0.0279719,0.0945013,0.00232394,0.00109036,0.000949585,0.00333915,7.51491e-05,0.467979
158,-2.80966,-5.30357,-0.0842913,-0.013203,0.00749046,0.0900084,0.000574185,0.00101557,0.000396545,0.00211124,-0.000521494,0.256931,,,,,,,,,,,,,,,,,,,,,,,,,29.0699,15.2597,-0.345128,-0.0244017,0.0349341,0.013414,0.000748636,0.00172261,4.47244e-06,0.00172759,0.000743655,0.00570381,,,,,,,,,,,,,24.228,27.5961,-0.121409,-0.00491084,0.0345288,0.0238022,0.00132147,0.00129491,0.0020767,0.00361494,-0.000998552,0.711733,24.7906,14.4829,-0.323431,-0.0080646,0.0160294,0.0580051,0.0011054,0.00162183,0.000182327,0.00190665,0.00082058,0.450445,14.6206,19.6828,-0.276835,-0.00811473,0.0280394,0.0621205,0.00216005,0.00120374,0.000824186,0.00319639,0.000167398,0.438697
159,-2.97241,-5.75979,-0.0850284,-0.0145803,0.00561542,0.112497,0.000658981,0.00101034,0.000221163,0.00219658,-0.000527256,0.0618194,,,,,,,,,,,,,,,,,,,,,,,,,29.0699,15.2597,-0.345128,-0.0241431,0.0333128,0.0287153,0.000304695,0.00106366,-5.32908e-05,0.00107918,0.000289175,-0.0996791,,,,,,,,,,,,,20.9508,27.4826,-0.181839,-0.00696341,0.0290523,0.0939204,0.000902053,0.000248037,0.00194921,0.00280776,-0.00165767,0.73388,24.5132,14.4143,-0.322651,-0.00931981,0.0145378,0.0828862,0.000837753,0.00128315,-0.000214645,0.00152779,0.000593115,-0.682423,13.9892,19.3681,-0.288433,-0.00928856,0.0250259,0.0928574,0.00221314,0.00117146,0.000228396,0.00313733,0.000247272,0.0374597
160,-3.13695,-5.87032,-0.0848216,-0.0133473,0.00669763,0.119189,0.000577791,0.00116673,0.000357082,0.00225365,-0.00050913,0.122042,,,,,,,,,,,,,,,,,,,,,,,,,29.0699,15.2597,-0.345128,-0.0246516,0.0347811,0.0176037,0.0016959,0.00246951,0.000234046,0.00254171,0.00162371,1.34164,,,,,,,,,,,,,23.2858,27.656,-0.135374,0.0036854,0.0360688,0.150863,0.00104607,0.00288393,0.00104276,0.00371229,0.000217715,1.06276,24.0202,14.5243,-0.322229,-0.00111448,0.0244011,0.110317,0.00165748,0.00256683,0.000337729,0.00296347,0.00126084,0.522078,14.0603,19.1585,-0.293764,-0.00856469,0.0288404,0.105407,0.00247564,0.0017766,0.000561993,0.00361797,0.000634267,0.416178
161,-2.98812,-5.57183,-0.0841172,-0.0137811,0.00829605,0.112015,0.000663852,0.00108337,0.000363537,0.00234302,-0.000595793,0.127706,,,,,,,,,,,,,,,,,,,,,,,,,29.0699,15.2597,-0.345128,-0.0221207,0.0336919,0.0342156,0.0006016,0.00108432,-9.70124e-05,0.00115714,0.000528782,0.254212,,,,,,,,,,,,,22.7128,27.3789,-0.157495,0.00273705,0.0318419,0.140556,0.00148524,-0.00160112,-0.000232444,0.00162292,-0.0017388,-0.00433144,23.9584,14.6528,-0.324508,0.00491943,0.0202733,0.146648,0.00113511,0.0015972,0.000176439,0.00210484,0.000627465,0.396939,14.3109,19.524,-0.284824,-0.00794203,0.0280609,0.0996749,0.00223411,0.000875011,0.000314192,0.00304544,6.36803e-05,0.236446
162,-2.84869,-5.65574,-0.083924,-0.0135302,0.00719473,0.115869,0.00075651,0.00123555,0.000398316,0.00241046,-0.000418404,0.204248,,,,,,,,,,,,,,,,,,,,,,,,,29.0699,15.2597,-0.345128,-0.0227984,0.0323161,0.0386449,0.000435373,0.00103399,0.00023136,0.00111754,0.000351827,1.27429,,,,,,,,,,,,,24.011,27.5153,-0.131821,0.00573886,0.0257235,0.176688,0.000404552,-0.00144776,0.00127572,0.00126987,-0.00231308,0.433592,24.0688,14.6426,-0.32443,0.00690574,0.0181801,0.16054,0.00125254,0.00151018,0.000268447,0.00200369,0.000759041,0.406111,14.4523,19.5344,-0.283039,-0.00699111,0.0270527,0.111713,0.00242171,0.00104741,0.000504444,0.00325196,0.000217168,0.24952
