"Average",,,,,,,,,,,,,"P0",,,,,,,,,,,,"P1",,,,,,,,,,,,"P2",,,,,,,,,,,,"R0",,,,,,,,,,,,"R1",,,,,,,,,,,,"R2",,,,,,,,,,,,"C0",,,,,,,,,,,
"Index [1]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","exx [1] - Lagrange","eyy [1] - Lagrange","exy [1] - Lagrange","e1 [1] - Lagrange","e2 [1] - Lagrange","gamma [1] - Lagrange","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","exx [1] - Lagrange","eyy [1] - Lagrange","exy [1] - Lagrange","e1 [1] - Lagrange","e2 [1] - Lagrange","gamma [1] - Lagrange","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","exx [1] - Lagrange","eyy [1] - Lagrange","exy [1] - Lagrange","e1 [1] - Lagrange","e2 [1] - Lagrange","gamma [1] - Lagrange","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","exx [1] - Lagrange","eyy [1] - Lagrange","exy [1] - Lagrange","e1 [1] - Lagrange","e2 [1] - Lagrange","gamma [1] - Lagrange","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","exx [1] - Lagrange","eyy [1] - Lagrange","exy [1] - Lagrange","e1 [1] - Lagrange","e2 [1] - Lagrange","gamma [1] - Lagrange","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","exx [1] - Lagrange","eyy [1] - Lagrange","exy [1] - Lagrange","e1 [1] - Lagrange","e2 [1] - Lagrange","gamma [1] - Lagrange","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","exx [1] - Lagrange","eyy [1] - Lagrange","exy [1] - Lagrange","e1 [1] - Lagrange","e2 [1] - Lagrange","gamma [1] - Lagrange","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","exx [1] - Lagrange","eyy [1] - Lagrange","exy [1] - Lagrange","e1 [1] - Lagrange","e2 [1] - Lagrange","gamma [1] - Lagrange"
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,-3.61193,-6.18644,-0.0772092,-0.000151285,0.00773903,0.0476253,0.000173572,0.000508237,0.000157504,0.00134362,-0.000661808,0.285865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.1759,29.0224,-0.243528,0.0139129,0.0225042,0.0917199,0.00222685,-0.000510124,-0.00143339,0.00335602,-0.00163929,-0.709436,21.4759,14.58,-0.321017,-0.000464782,0.0159916,0.00649052,-0.00132061,0.00152539,0.000107901,0.00218716,-0.00198239,0.261501,12.3869,20.3153,-0.274294,0.00229079,0.0188331,0.0290433,0.000624003,0.000450691,0.000300655,0.00239054,-0.00131585,0.469675
20,-3.65407,-5.84977,-0.0790056,-0.00233488,0.0104993,0.040673,0.00041195,0.000513858,0.00016042,0.00131944,-0.000393632,0.231113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.1919,28.9992,-0.234888,-0.00426431,0.0318074,0.0141703,0.000543358,-0.000570199,-0.00135121,0.00166913,-0.00169597,-0.6298,22.1533,14.789,-0.322084,0.00863127,0.0181163,0.0757147,4.3423e-05,0.000458876,-0.000683133,0.0012433,-0.000741,-0.730961,12.5867,20.115,-0.271825,0.000662329,0.0248008,0.0380745,0.00128778,0.000385641,-3.57027e-06,0.00204019,-0.000366764,0.0918759
21,-3.7433,-5.77095,-0.0807148,0.000470104,0.0096142,0.0473222,0.000280443,0.000509454,8.27106e-05,0.00128586,-0.000495961,0.151302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.22,29.2191,-0.240794,0.000287955,0.0295467,0.0259772,0.00261612,-0.000127024,-0.00111981,0.00316154,-0.000672434,-0.374293,22.4356,14.8548,-0.322516,0.0100214,0.0214253,0.0470872,0.00104537,8.31719e-05,-0.000618472,0.00145076,-0.000322219,-0.420919,12.5442,20.0822,-0.279239,0.004607,0.0226129,0.0395847,0.00122475,0.000250171,-0.000182502,0.00191428,-0.000439357,0.0189267
22,-3.67104,-5.86,-0.0789911,0.00115278,0.00714017,0.0571157,0.000374697,0.000530262,0.000172752,0.00142749,-0.00052253,0.236672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.3498,28.8045,-0.220394,0.000277544,0.0160676,0.050243,0.000457493,-0.00194192,-0.00142629,0.00188321,-0.00336763,-0.675392,21.9539,14.7803,-0.321885,0.00516049,0.0171662,0.0603008,-1.00903e-05,0.000169664,-0.00122916,0.00180179,-0.00164221,-0.75983,12.6059,20.0763,-0.273654,0.00329533,0.0182853,0.0494982,0.00113785,6.64536e-05,-0.000101545,0.00213489,-0.000930594,0.0957124
23,-2.79536,-5.24392,-0.0830648,-0.000303674,0.0113714,0.0363183,8.52468e-05,0.000439286,0.000141416,0.00111614,-0.000591603,0.202957,,,,,,,,,,,,,,,,,,,,,,,,,29.0699,15.2597,-0.345128,0.00478721,0.0251208,0.210809,-0.000502904,0.000689468,-0.000343593,0.000782561,-0.000595996,-1.31251,,,,,,,,,,,,,23.3628,28.2146,-0.115176,-0.00229707,0.0189804,0.0506438,-0.000823445,-0.00169889,-0.00201918,0.00143624,-0.00395858,-0.745207,24.5614,14.4649,-0.323558,0.006053,0.0204078,0.0547559,-0.000120261,0.000475131,-0.000334213,0.00080639,-0.00045152,-0.709761,14.4698,19.9128,-0.269069,0.00244269,0.0220917,0.0344835,0.000492712,0.00016428,-0.00021331,0.00143482,-0.000777832,-0.119541
24,-2.53042,-5.27967,-0.08531,-0.00154576,0.013627,0.0311209,0.000161191,0.000456692,0.000229659,0.00114653,-0.000528645,0.231598,,,,,,,,,,,,,,,,,,,,,,,,,29.0699,15.2597,-0.345128,0.0360199,-0.0225609,0.241206,0.000331989,0.000356631,-1.06454e-05,0.000435335,0.000253286,-0.433579,,,,,,,,,,,,,22.5427,28.0991,-0.130858,-2.09674e-06,0.0226189,0.0616991,-0.000527852,-0.00202344,-0.000709795,0.000428553,-0.00297984,-0.716,24.6874,14.4635,-0.323386,0.00646266,0.0176014,0.0477566,0.000389814,0.00032138,-6.15602e-05,0.000704519,6.67502e-06,-0.320362,14.755,19.5554,-0.275629,0.000845466,0.0241039,0.0309396,0.000712141,-7.45627e-05,0.000248515,0.00132653,-0.000688953,0.0929126
25,-2.56148,-5.22196,-0.0840279,-0.00149149,0.0113951,0.0358786,0.000245638,0.000528336,0.000162722,0.00119113,-0.00041716,0.219892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.842,28.1186,-0.125541,0.000387244,0.0207849,0.0850387,-5.83937e-05,-0.000799821,-0.000912425,0.00100362,-0.00186183,-0.786158,24.4547,14.3398,-0.323048,0.00496287,0.0152362,0.0532712,0.000745818,0.000423813,-0.000171019,0.00099935,0.000170281,-0.317242,14.8447,19.6849,-0.270034,0.00210703,0.0214047,0.0396077,0.000977006,0.000348201,3.12871e-05,0.00154129,-0.000216082,0.0724813
26,-2.52686,-5.21203,-0.0844611,-0.000318149,0.0113695,0.0332238,0.000251648,0.00059445,0.000102824,0.00127879,-0.000432686,0.180203,,,,,,,,,,,,,,,,,,,,,,,,,29.0699,15.2597,-0.345128,0.051028,-0.0303281,0.0805792,0.00101745,0.00147418,-0.000352912,0.00166707,0.000824558,-1.06966,,,,,,,,,,,,,23.1192,28.1368,-0.121299,-0.00360279,0.0289013,0.031274,0.00177807,0.00126023,-0.00144822,0.00356605,-0.000527747,-0.7652,24.6874,14.4635,-0.323386,0.0109274,0.00967987,0.016154,0.00080722,0.000968165,-0.00020895,0.00135689,0.000418495,-0.428721,14.8739,19.6568,-0.271148,0.00401319,0.0199358,0.0265489,0.000815674,0.000664673,-0.000153531,0.00182121,-0.000340862,0.0120176
27,-2.59064,-5.17911,-0.0844372,-0.00176484,0.0120228,0.0354693,0.000350001,0.000531529,0.000149188,0.001287,-0.000405471,0.232323,,,,,,,,,,,,,,,,,,,,,,,,,29.0699,15.2597,-0.345128,0.0362079,-0.00884796,-0.0135387,0.00123421,0.000703457,-0.000113448,0.00126338,0.000674288,-0.208461,,,,,,,,,,,,,20.9865,28.1354,-0.154586,-0.00112434,0.0247201,0.0302471,0.00268141,-0.000669094,-0.000890164,0.00354651,-0.00153419,-0.596373,24.6874,14.4635,-0.323386,0.00676533,0.0133051,0.00816913,0.000988257,0.000572052,-7.87021e-05,0.0011791,0.000381209,-0.267147,14.7772,19.6439,-0.271241,0.00284324,0.020399,0.0278622,0.00129814,0.000411406,-9.17743e-07,0.00188999,-0.000180446,0.113975
28,-2.70403,-5.12253,-0.0842307,-0.00196216,0.0129214,0.0332675,0.000300412,0.00055475,0.00017613,0.00129878,-0.000443622,0.298185,,,,,,,,,,,,,,,,,,,,,,,,,29.0699,15.2597,-0.345128,0.0289495,0.00266749,-0.0375942,0.000799747,0.00158341,-0.000302874,0.00169086,0.000692301,-1.24127,,,,,,,,,,,,,20.335,28.2193,-0.15987,-0.000273505,0.0216802,0.0439764,0.00158472,-0.00070953,-0.00130371,0.00288126,-0.00200607,-0.704658,24.6874,14.4635,-0.323386,0.00537193,0.016745,-0.00687254,0.000806115,0.00105322,-0.000147372,0.00140268,0.000456654,-0.258548,14.6886,19.7596,-0.271408,0.00293925,0.0225248,0.0208449,0.00121535,0.000556771,3.95017e-05,0.00197381,-0.000201692,0.0952868
29,-2.71719,-5.10181,-0.0842922,-0.164383,0.0886091,-0.266215,0.000153109,0.000581819,0.000182984,0.00121584,-0.000480912,0.272456,,,,,,,,,,,,,,,,,,,,,,,,,29.0699,15.2597,-0.345128,-0.141766,0.0865441,-0.327054,0.000290628,0.000420265,0.000278277,0.000657246,5.36471e-05,0.89958,,,,,,,,,,,,,19.6309,28.4037,-0.160472,-0.166983,0.0994933,-0.241839,8.68918e-05,-0.00105767,-0.00103654,0.00134901,-0.0023198,-0.732222,24.6874,14.4635,-0.323386,-0.157854,0.0950596,-0.289337,0.000379064,0.000523528,0.000124638,0.000844223,5.83689e-05,0.329833,14.5296,19.7084,-0.270602,-0.162866,0.100151,-0.279805,0.000616325,0.000571796,1.99629e-05,0.00148478,-0.000296654,0.129241
30,-2.63304,-5.05063,-0.0849926,0.0284213,0.00663398,0.0130061,0.000229287,0.000588579,0.000121849,0.00128607,-0.000468199,0.233944,,,,,,,,,,,,,,,,,,,,,,,,,29.0699,15.2597,-0.345128,0.0535922,-0.000695014,0.00503474,0.000540577,0.000820289,-0.000113512,0.000868658,0.000492208,-1.18933,,,,,,,,,,,,,22.7581,28.1198,-0.12789,0.0259932,0.0169935,-0.0263782,0.0014345,-0.000946603,-0.00106302,0.00222652,-0.00173863,-0.596387,24.6874,14.4635,-0.323386,0.0346995,0.0107917,-0.0195909,0.000595469,0.000715346,-3.49689e-05,0.00104555,0.00026526,-0.0469976,14.7952,19.6753,-0.272016,0.0323096,0.0159358,-0.000641393,0.000915997,0.000586151,-0.000167633,0.00179443,-0.000292282,0.0615484
31,-2.76463,-5.07036,-0.0844196,0.0238481,0.0066708,0.0210615,0.000257641,0.000594879,0.000155078,0.00132002,-0.000467504,0.299066,,,,,,,,,,,,,,,,,,,,,,,,,29.0699,15.2597,-0.345128,0.0409175,-1.7131e-05,0.0262683,0.000856205,0.00104299,-2.91748e-05,0.00107253,0.000826665,-0.879237,,,,,,,,,,,,,21.4863,28.0597,-0.150227,0.0227099,0.0160699,-0.0165376,0.00211161,-0.00188625,-0.000342268,0.0024045,-0.00217914,-0.263565,24.6874,14.4635,-0.323386,0.0296792,0.0118908,-0.0110618,0.000786945,0.000776534,1.6579e-05,0.00120722,0.00035626,0.32742,14.543,19.7631,-0.271795,0.0277692,0.0164569,0.00249675,0.000969668,0.000555918,-3.89778e-05,0.00185791,-0.000332325,0.24907
32,-2.81474,-5.15719,-0.0844842,-0.000818671,0.0113592,0.0394884,0.000282842,0.000519821,0.000122964,0.00134427,-0.000541608,0.267614,,,,,,,,,,,,,,,,,,,,,,,,,29.0699,15.2597,-0.345128,0.0140931,0.00531319,0.0368096,0.000794874,0.00110634,-4.95578e-05,0.00112934,0.000771876,-1.04743,,,,,,,,,,,,,19.2751,28.6255,-0.162777,-0.00161177,0.0203977,0.0411464,0.00132863,-0.00271842,-0.000720212,0.0020398,-0.00342959,-0.632173,24.6776,14.4943,-0.323404,0.00592086,0.0158028,0.0149788,0.000713465,0.00078746,-6.7588e-06,0.0012516,0.000249327,-0.0897344,14.4316,19.6341,-0.273688,0.00257211,0.0215095,0.0234049,0.00116186,0.000287369,-0.000190011,0.00200348,-0.000554255,0.135892
33,-2.78348,-5.08821,-0.0833366,-0.00633132,0.0158223,0.0161178,0.000199941,0.000622674,0.000174683,0.00130578,-0.000483161,0.246576,,,,,,,,,,,,,,,,,,,,,,,,,29.0699,15.2597,-0.345128,0.00306829,0.0140837,-0.0308991,0.000122677,0.00151849,-3.0637e-05,0.00151968,0.00012148,-1.19287,,,,,,,,,,,,,20.9288,28.2955,-0.155035,-0.00839481,0.0322393,-0.0269367,0.000403836,-0.00110841,-0.000703836,0.00131769,-0.00202226,-0.71701,24.6363,14.5371,-0.3234,0.00180212,0.0209546,-0.00767829,0.000312017,0.00113951,-0.000100099,0.00129109,0.000160434,-0.366065,14.7772,19.7791,-0.268308,-0.00196441,0.0278168,-0.00225523,0.000765303,0.000610258,-3.36997e-06,0.00176129,-0.000385734,0.0239838
34,-2.77961,-5.22078,-0.0836997,-0.00227055,0.0139231,0.0347472,0.000120333,0.00061811,0.000177372,0.00128596,-0.000547515,0.256291,,,,,,,,,,,,,,,,,,,,,,,,,29.0699,15.2597,-0.345128,0.00657322,0.0103336,-0.021723,-0.000221049,0.00100021,-0.000212227,0.00103802,-0.000258864,-1.40135,,,,,,,,,,,,,20.8207,28.4057,-0.145442,-0.00403768,0.0290111,-0.00694864,-0.000480987,-0.000904005,-0.000768627,0.000883701,-0.00226869,-0.874338,24.602,14.3593,-0.323963,0.00650916,0.0176613,0.0157782,0.000187134,0.000884324,-0.000123283,0.00105851,1.2952e-05,-0.55946,14.5513,19.6078,-0.271206,0.00127573,0.024688,0.02236,0.0004202,0.000699441,-2.31595e-05,0.0016547,-0.000535057,0.0304151
